CookerStat, GenerateAssetRegistry=0.026897, Initialize=0.133518, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9CD810D404A1988B4E638805CED1ED7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=83.829704, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9CD810D404A1988B4E638805CED1__B08A1F3F1ADFECF426B909ACEA27C78FE44E9443, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=2.718698, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9CD810D404A1988B4E638805CED1__33BBD1CDEFB69650D318BB01046E853F91FBEE67, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=4.964799, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9CD810D404A1988B4E638805CED1__ACFB4B44A96CC31E52CFD5A04402468A3D0834B3, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=3.347862, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9CD810D404A1988B4E638805CED1__3B5858F7CE83C01DC6576E884F4DEA8ACA52A3F2, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=3.937323, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_47D69986461E06D4EBCF1395272AA039_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=169.512314, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_47D69986461E06D4EBCF1395272AA__1AF8B89C0565B1A683F51C5F53C1B7C5292D0D78, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=9.128489, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_47D69986461E06D4EBCF1395272AA__AE372FC415E5EFAD1D296F2D8287BE4C366CCA6F, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=3.339212, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_47D69986461E06D4EBCF1395272AA__F716E0DD02BCA92E99FB30801375C420D4C6567F, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=2.838124, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_47D69986461E06D4EBCF1395272AA__D90EB70F7482875DE417DA88E780485B605D991B, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=6899, Duration=1.784075, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5BA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=399.665863, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5__AB29B85CCBEB5FDC6FCCC08C2735D01EF475D39B, StartTime=2016.05.09-11.21.50, HierarchicalDDC=, DataSize=1048841, Duration=4.099656, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5__1ECACCE705177E070D99B85E669B785E4C6F7EA7, StartTime=2016.05.09-11.21.50, HierarchicalDDC=, DataSize=262407, Duration=3.016788, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5__1B9C6DBCEFDA114E2AEC9CD65CDB4C211C6E1EFD, StartTime=2016.05.09-11.21.50, HierarchicalDDC=, DataSize=65799, Duration=36.210426, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5__2A00B1C7A4F4F6E74E63AC4C5E1CBA0359363BAD, StartTime=2016.05.09-11.21.50, HierarchicalDDC=, DataSize=16647, Duration=2.381861, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_6C97B96E4EF5016E9A3E64BD5F2E5__9D3A48AE543C63E62FE8CC69DFB44C045C5858CD, StartTime=2016.05.09-11.21.50, HierarchicalDDC=, DataSize=7196, Duration=1.826979, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
